event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26FEB20AKRBALL,Akron at Ball St.,Akron,Ball St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR12GTWNVILL,Georgetown at Villanova,Georgetown,Villanova,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14MISSUGA,Ole Miss at Georgia,Ole Miss,Georgia,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB17LSUTEX,LSU at Texas,LSU,Texas,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB21USUNEV,Utah St. at Nevada,Utah St.,Nevada,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14SMUSYR,SMU at Syracuse,SMU,Syracuse,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10PSUPUR,Penn St. at Purdue,Penn St.,Purdue,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28UCLAMINN,UCLA at Minnesota,UCLA,Minnesota,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB24USCUCLA,USC at UCLA,USC,UCLA,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN14UNCSTAN,North Carolina at Stanford,North Carolina,Stanford,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN21PEPPGONZ,Pepperdine at Gonzaga,Pepperdine,Gonzaga,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB16GRAMPV,Grambling St. at Prairie View A&M,Grambling St.,Prairie View A&M,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN30LCHIVCU,Loyola Chicago at VCU,Loyola Chicago,VCU,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN06TXAMAUB,Texas A&M at Auburn,Texas A&M,Auburn,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14KSUHOU,Kansas St. at Houston,Kansas St.,Houston,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB24MOHEMU,Miami (OH) at Eastern Michigan,Miami (Ohio),Eastern Michigan,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN30KENTAKR,Kent St. at Akron,Kent St.,Akron,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN15GONZWSU,Gonzaga at Washington St.,Gonzaga,Washington St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB03AKREMU,Akron at Eastern Michigan,Akron,Eastern Michigan,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB25SMUCAL,SMU at California,SMU,California,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN31ARIZASU,Arizona at Arizona St.,Arizona,Arizona St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB07WASHUCLA,Washington at UCLA,Washington,UCLA,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN17CONNGTWN,UConn at Georgetown,UConn,Georgetown,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN23USUCSU,Utah St. at Colorado St.,Utah St.,Colorado St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR07GTCLEM,Georgia Tech at Clemson,Georgia Tech,Clemson,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB18SMCSEA,Saint Mary's at Seattle,Saint Mary's,Seattle,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR03BYUCIN,BYU at Cincinnati,BYU,Cincinnati,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24SJUXAV,St. John's at Xavier,St. John's,Xavier,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN20HALLSJU,Seton Hall at St. John's,Seton Hall,St. John's,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR14CHARUSF,Charlotte at South Florida,Charlotte,South Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB08NWIOWA,Northwestern at Iowa,Northwestern,Iowa,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR11BYUWVU,BYU at West Virginia,BYU,West Virginia,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB10WSUGONZ,Washington St. at Gonzaga,Washington St.,Gonzaga,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB14UGAOKLA,Georgia at Oklahoma,Georgia,Oklahoma,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN23KENNLT,Kennesaw St. at Louisiana Tech,Kennesaw St.,Louisiana Tech,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB05PSUMICH,Penn St. at Michigan,Penn St.,Michigan,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB20INDPUR,Indiana at Purdue,Indiana,Purdue,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28VTUNC,Virginia Tech at North Carolina,Virginia Tech,North Carolina,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN31CALMIA,California at Miami (FL),California,Miami (FL),mixed_one_mm_one_not
KXNCAAMBGAME-26JAN23FURUNCG,Furman at UNC Greensboro,Furman,UNC Greensboro,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN17UNCCAL,North Carolina at California,North Carolina,California,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR08IDHOMTST,Idaho at Montana St.,Idaho,Montana St.,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB08TLSAUSF,Tulsa at South Florida,Tulsa,South Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28IOWAPSU,Iowa at Penn St.,Iowa,Penn St.,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN08OSUORE,Ohio St. at Oregon,Ohio St.,Oregon,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR03OKSTUCF,Oklahoma St. at UCF,Oklahoma St.,UCF,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN25CSNHAW,Cal State Northridge at Hawai'i,Cal State Northridge,Hawaii,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB15INDILL,Indiana at Illinois,Indiana,Illinois,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN31USFTEM,South Florida at Temple,South Florida,Temple,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB19UVMUMBC,Vermont at UMBC,Vermont,UMBC,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB12MTUKENN,Middle Tennessee at Kennesaw St.,Middle Tennessee,Kennesaw St.,mixed_one_mm_one_not
KXNCAAMBGAME-26MAR01TULNUSF,Tulane at South Florida,Tulane,South Florida,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN10MIZZMISS,Missouri at Ole Miss,Missouri,Ole Miss,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN17MINNILL,Minnesota at Illinois,Minnesota,Illinois,mixed_one_mm_one_not
KXNCAAMBGAME-26JAN24UTAHBYU,Utah at BYU,Utah,BYU,mixed_one_mm_one_not
KXNCAAMBGAME-26FEB28NCSTND,North Carolina St. at Notre Dame,NC State,Notre Dame,mixed_one_mm_one_not
