event_ticker,event_title,away_team,home_team,game_classification
KXNCAAMBGAME-26FEB22IONAMRMK,Iona at Merrimack,Iona,Merrimack,neither_mm
KXNCAAMBGAME-26JAN27MVSUSOU,Mississippi Valley St. at Southern University,Mississippi Valley St.,Southern University,neither_mm
KXNCAAMBGAME-26JAN30IUINYSU,IU Indy at Youngstown St.,IU Indy,Youngstown St.,neither_mm
KXNCAAMBGAME-26FEB18CLEVYSU,Cleveland St. at Youngstown St.,Cleveland St.,Youngstown St.,neither_mm
KXNCAAMBGAME-26FEB26WICHMEM,Wichita St. at Memphis,Wichita St.,Memphis,neither_mm
KXNCAAMBGAME-26MAR12CREIHALL,Creighton at Seton Hall,Creighton,Seton Hall,neither_mm
KXNCAAMBGAME-26FEB12UCICP,UC Irvine at Cal Poly,UC Irvine,Cal Poly,neither_mm
KXNCAAMBGAME-26FEB16LAMUTRGV,Lamar at UT Rio Grande Valley,Lamar,UT Rio Grande Valley,neither_mm
KXNCAAMBGAME-26FEB18DEPHALL,DePaul at Seton Hall,DePaul,Seton Hall,neither_mm
KXNCAAMBGAME-26JAN17BUTHALL,Butler at Seton Hall,Butler,Seton Hall,neither_mm
KXNCAAMBGAME-26FEB19CSNUCSB,Cal State Northridge at UC Santa Barbara,Cal State Northridge,UC Santa Barbara,neither_mm
KXNCAAMBGAME-26FEB28JOESURI,Saint Joseph's at Rhode Island,Saint Joseph's,Rhode Island,neither_mm
KXNCAAMBGAME-26FEB08MDMINN,Maryland at Minnesota,Maryland,Minnesota,neither_mm
KXNCAAMBGAME-26MAR05BUCKNAVY,Bucknell at Navy,Bucknell,Navy,neither_mm
KXNCAAMBGAME-26MAR12SBONGMU,St. Bonaventure at George Mason,St. Bonaventure,George Mason,neither_mm
KXNCAAMBGAME-26FEB14CALBC,California at Boston College,California,Boston College,neither_mm
KXNCAAMBGAME-26JAN10WYONEV,Wyoming at Nevada,Wyoming,Nevada,neither_mm
KXNCAAMBGAME-26JAN21VTSYR,Virginia Tech at Syracuse,Virginia Tech,Syracuse,neither_mm
KXNCAAMBGAME-26FEB03NEVBSU,Nevada at Boise St.,Nevada,Boise St.,neither_mm
KXNCAAMBGAME-26JAN31CAMPWM,Campbell at William & Mary,Campbell,William & Mary,neither_mm
KXNCAAMBGAME-26FEB18RUTGPSU,Rutgers at Penn St.,Rutgers,Penn St.,neither_mm
KXNCAAMBGAME-26JAN19STNHSFPA,Stonehill at St. Francis (PA),Stonehill,St. Francis (PA),neither_mm
KXNCAAMBGAME-26MAR04FSUPITT,Florida St. at Pittsburgh,Florida St.,Pittsburgh,neither_mm
KXNCAAMBGAME-26MAR01WICHUTSA,Wichita St. at UTSA,Wichita St.,UTSA,neither_mm
KXNCAAMBGAME-26JAN22STETLIP,Stetson at Lipscomb,Stetson,Lipscomb,neither_mm
