away_team,away_team_clean,close_time,determination_time,dollar_open_interest,dollar_volume,event_series_ticker,event_subtitle,event_ticker,event_title,expected_expiration_time,expiration_time,game,game_classification,game_clean,home_team,home_team_clean,last_price,market_id,market_source_type,no_ask,no_bid,no_subtitle,open_interest,open_time,opponent,opponent_clean,platform,result,round,settlement_time,status,team,team_clean,ticker,title,volume,yes_ask,yes_bid,yes_subtitle
North Dakota St.,North Dakota State,2026-03-19T22:43:57Z,2026-03-19T22:43:59Z,582422,671755,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19NDSUMSU,North Dakota St. at Michigan St.,2026-03-19T20:00:00Z,,North Dakota St. vs Michigan St.,both_mm,North Dakota State vs Michigan State,Michigan St.,Michigan State,0.99,a09b0cbc-b4cd-45d3-9fd0-42439b262b46,game_winner,,,Michigan St.,1164844,2026-03-15T22:47:00Z,North Dakota St.,North Dakota State,kalshi,yes,,2026-03-19T22:49:00Z,closed,Michigan St.,Michigan State,KXNCAAMBGAME-26MAR19NDSUMSU-MSU,North Dakota St. at Michigan St. Winner?,1343510,,,Michigan St.
North Dakota St.,North Dakota State,2026-03-19T22:43:57Z,2026-03-19T22:43:59Z,1906602,2384656,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19NDSUMSU,North Dakota St. at Michigan St.,2026-03-19T20:00:00Z,,North Dakota St. vs Michigan St.,both_mm,North Dakota State vs Michigan State,Michigan St.,Michigan State,0.01,0edf3569-a897-4405-9542-1cf3d6bf39a5,game_winner,,,North Dakota St.,3813204,2026-03-15T22:47:00Z,Michigan St.,Michigan State,kalshi,no,,2026-03-19T22:49:00Z,closed,North Dakota St.,North Dakota State,KXNCAAMBGAME-26MAR19NDSUMSU-NDSU,North Dakota St. at Michigan St. Winner?,4769312,,,North Dakota St.
VCU,VCU,2026-03-20T01:22:56Z,2026-03-20T01:22:58Z,5467229,11839712,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19VCUUNC,VCU at North Carolina,2026-03-19T20:00:00Z,,VCU vs North Carolina,both_mm,VCU vs North Carolina,North Carolina,North Carolina,0.01,9640aea2-90b7-4fdc-a901-d22b26a51287,game_winner,,,North Carolina,10934458,2026-03-15T22:47:00Z,VCU,VCU,kalshi,no,,2026-03-20T01:28:01Z,closed,North Carolina,North Carolina,KXNCAAMBGAME-26MAR19VCUUNC-UNC,VCU at North Carolina Winner?,23679424,,,North Carolina
VCU,VCU,2026-03-20T01:22:56Z,2026-03-20T01:22:58Z,3784793,9672981,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19VCUUNC,VCU at North Carolina,2026-03-19T20:00:00Z,,VCU vs North Carolina,both_mm,VCU vs North Carolina,North Carolina,North Carolina,0.99,1d5e2d51-0805-4c9d-a7e8-96213161fd5a,game_winner,,,VCU,7569586,2026-03-15T22:47:00Z,North Carolina,North Carolina,kalshi,yes,,2026-03-20T01:28:01Z,closed,VCU,VCU,KXNCAAMBGAME-26MAR19VCUUNC-VCU,VCU at North Carolina Winner?,19345962,,,VCU
Howard,Howard,2026-03-20T02:04:48Z,2026-03-20T02:05:47Z,13198056,17443177,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19HOWMICH,Howard at Michigan,2026-03-20T02:10:00Z,,Howard vs Michigan,both_mm,Howard vs Michigan,Michigan,Michigan,0.01,393b8e21-5a9e-40ab-a796-6acc8b4b91d4,game_winner,,,Howard,26396112,2026-03-18T01:52:00Z,Michigan,Michigan,kalshi,no,,2026-03-20T02:10:51Z,closed,Howard,Howard,KXNCAAMBGAME-26MAR19HOWMICH-HOW,Howard at Michigan Winner?,34886354,,,Howard
Howard,Howard,2026-03-20T02:04:48Z,2026-03-20T02:05:47Z,2509543,2886185,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19HOWMICH,Howard at Michigan,2026-03-20T02:10:00Z,,Howard vs Michigan,both_mm,Howard vs Michigan,Michigan,Michigan,0.99,9f82b1b6-3fee-4fce-96e7-3a68a3de12a2,game_winner,,,Michigan,5019086,2026-03-18T01:52:00Z,Howard,Howard,kalshi,yes,,2026-03-20T02:10:51Z,closed,Michigan,Michigan,KXNCAAMBGAME-26MAR19HOWMICH-MICH,Howard at Michigan Winner?,5772370,,,Michigan
Texas A&M,Texas A&M,2026-03-20T02:15:04Z,2026-03-20T02:16:04Z,2062975,3606105,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TXAMSMC,Texas A&M at Saint Mary's,2026-03-19T20:00:00Z,,Texas A&M vs Saint Mary's,both_mm,Texas A&M vs Saint Mary's,Saint Mary's,Saint Mary's,0.01,9a6550df-b567-4a25-9f1e-a90914a35d7e,game_winner,,,Saint Mary's,4125950,2026-03-15T22:47:00Z,Texas A&M,Texas A&M,kalshi,no,,2026-03-20T02:21:11Z,closed,Saint Mary's,Saint Mary's,KXNCAAMBGAME-26MAR19TXAMSMC-SMC,Texas A&M at Saint Mary's Winner?,7212210,,,Saint Mary's
Texas A&M,Texas A&M,2026-03-20T02:15:04Z,2026-03-20T02:16:04Z,1728470,3279208,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TXAMSMC,Texas A&M at Saint Mary's,2026-03-19T20:00:00Z,,Texas A&M vs Saint Mary's,both_mm,Texas A&M vs Saint Mary's,Saint Mary's,Saint Mary's,0.99,60e8a384-86f2-4402-9fdc-ae9d4b0c6d3d,game_winner,,,Texas A&M,3456940,2026-03-15T22:47:00Z,Saint Mary's,Saint Mary's,kalshi,yes,,2026-03-20T02:21:11Z,closed,Texas A&M,Texas A&M,KXNCAAMBGAME-26MAR19TXAMSMC-TXAM,Texas A&M at Saint Mary's Winner?,6558416,,,Texas A&M
Texas,Texas,2026-03-20T03:42:11Z,2026-03-20T03:42:13Z,5297469,10006915,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TEXBYU,Texas at BYU,2026-03-20T02:25:00Z,,Texas vs BYU,both_mm,Texas vs BYU,BYU,BYU,0.01,2143cde3-b063-40af-8223-a63cee954d80,game_winner,,,BYU,10594938,2026-03-18T04:06:00Z,Texas,Texas,kalshi,no,,2026-03-20T03:47:21Z,closed,BYU,BYU,KXNCAAMBGAME-26MAR19TEXBYU-BYU,Texas at BYU Winner?,20013830,,,BYU
Texas,Texas,2026-03-20T03:42:11Z,2026-03-20T03:42:13Z,3496394,6557362,KXNCAAMBGAME,,KXNCAAMBGAME-26MAR19TEXBYU,Texas at BYU,2026-03-20T02:25:00Z,,Texas vs BYU,both_mm,Texas vs BYU,BYU,BYU,0.99,07ed9824-568c-45c7-b7c8-a53c178223d6,game_winner,,,Texas,6992788,2026-03-18T04:06:00Z,BYU,BYU,kalshi,yes,,2026-03-20T03:47:21Z,closed,Texas,Texas,KXNCAAMBGAME-26MAR19TEXBYU-TEX,Texas at BYU Winner?,13114724,,,Texas
